"code","label"
"11D231","Christ-child meditating before the instruments of the Passion"
"11D232","Christ-child surrounded by the instruments of the Passion"
"11D233","Christ-child carrying the instruments of the Passion"
"11D234","Christ-child displaying the five wounds"
"11D235","Christ-child winding a crown of thorns, or with thorny twigs"
"11D236","Christ-child carrying the cross"
"11D237","Christ-child kneeling before the cross"
"11D238","Christ-child sleeping on the cross"
"11D24","Christ-child as eucharistic symbol"
"11D241","Christ-child in or on a chalice"
"11D2411","'Melismos' ~ Christ-child as eucharistic symbol"
"11D242","Christ-child in the mystic mill"
"11D25","Christ-child together with others"
"11D26","Christ as youth"
"11D261","Christ 'Emmanuel'"
"11D3","Christ as adult"
"11D31","'portraits' of Christ"
"11D311","'Mandylion', i.e. portrait, perhaps made for King Abgar of Edessa by Christ himself, by pressing his face against a cloth"
"11D3111","Christ gives the Mandylion to the messenger of King Abgar"
"11D3112","the Mandylion is brought to Edessa"
"11D312","'Vera Icon', 'Sudarium', Veronica-portrait"
"11D3121","'Vera Icon', held up by Veronica"
"11D3122","'Vera Icon', held up by angels"
"11D3123","'Vera Icon', held up by Peter and Paul"
"11D3124","'Vera Icon', held up by the four symbols of the evangelists"
"11D313","'portrait' of Christ according to the letter of Lentulus"
"11D314","'Volto Santo', e.g. of Lucca (perhaps carved by Nicodemus)"
"11D315","portrait of Christ made by Luke"
"11D316","ex-voto of the woman healed from the issue of blood"
"11D317","(full-length) image of Christ on shroud, 'Sindone'"
"11D318","(other) 'portraits' of Christ, e.g. profile portrait"
"11D32","particular types of adult Christ (without others)"
"11D321","'Majestas Domini': Christ in mandorla seated on a rainbow or sphere and accompanied by the Tetramorph"
"11D322","Christ enthroned"
"11D3221","'Pantocrator', (bust of) Christ, making a speaking or blessing gesture and holding a book"
"11D3222","'Christus Rex'"
"11D3223","Christ as (heavenly) judge"
"11D323","Christ-'Logos', the Word Incarnate"
"11D324","'Salvator Mundi', making a blessing gesture; an orb in his hand or at his feet"
"11D325","Christ ~ the Eucharist"
"11D3251","Christ with chalice, and bread or Host"
"11D3252","Christ in the wine-press, 'Christus in der Kelter' (Is. 63:3)"
"11D3253","Christ in the symbolic mill"
"11D326","'Fons Vitae', 'Fons Pietatis'"
"11D3261","Christ standing on or near a fountain, shedding his blood"
"11D3262","Christ on the cross (in a fountain), shedding his blood"
"11D327","Christ ~ human occupations"
"11D3271","Christ as Good Shepherd"
"11D3272","Christ as physician"
"11D32721","Christ as apothecary"
"11D3273","Christ fishing"
"11D3274","Christ as pedlar"
"11D3275","Christ as farmer or gardener"
"11D3276","Christ as host"
"11D3277","Christ as (high) priest or prophet"
"11D3278","Christ as pilgrim"
"11D3279","'Feiertagschristus', Christ with craftsman's tools"
"11D328","types of adult Christ (alone)"
"11D3281","Christ as woman"
"11D3282","Christ in orans attitude"
"11D3283","Christ as angel"
"11D3284","Christ ~ Orpheus"
"11D3285","Christ ~ Apollo (Helios)"
"11D33","adult Christ together with others (non-narrative representations)"
"11D331","adult Christ with Mary"
"11D3311","Christ and Mary as bridegroom and bride"
"11D332","adult Christ together with angels"
"11D333","adult Christ ~ devil(s) and demonic creatures"
"11D3331","Christ triumphing over devil(s)"
"11D334","adult Christ together with apostles, evangelists, saints, etc."
"11D3341","Christ with John the Evangelist leaning on his breast, 'Johannesminne', 'Christus-Johannes-Gruppe'"
"11D3342","'Traditio legis', 'Dominus legem dat', i.e. Christ giving a scroll (the Law) to Paul; Peter present"
"11D33421","Christ giving a scroll (the Law) to Paul; apostle(s) present"
"11D3343","Christ with penitent sinners (Adam, David, prodigal son, Mary Magdalene, good malefactor, Peter, etc.)"
"11D335","adult Christ together with mortals"
"11D3351","(adult) Christ appearing to mortals"
"11D336","triumphant Christ, e.g. on triumphal chariot"
"11D337","Christ on horseback"
"11D3371","Christ on horseback leading an army of knights, 'Militia Christi'"
"11D34","adult Christ ~ abstract conceptions"
"11D35","specific types of crucified Christ (in non-narrative context)"
"11D351","Christ suffering (with crown of thorns, head usually turned sidewards)"
"11D352","Christ covered with pest-sores, 'Pestkruzifixus'"
"11D353","Christ triumphing (with crown, head usually upright)"
"11D354","Christ bowing down from the cross to embrace someone"
"11D355","Christ crucified on a tree or on a vine"
"11D356","Christ crucified on a 'living' cross"
"11D357","the Virtues ~ crucified Christ"
"11D36","other types of crucified Christ in non-narrative context"
"11D4","legends and devotions ~ Christ"
"11D41","legends ~ Christ"
"11D411","legend of the True Cross"
"11D4111","Seth puts a branch from the Tree of Knowledge on Adam's grave ~ legend of the True Cross"
"11D41111","Seth searching for paradise; the angel gives him a twig or a flask of oil ~ legend of the True Cross"
"11D4112","the wood is used for the building of the temple of Solomon ~ the legend of the True Cross"
"11D4113","the wood, serving as a bridge, is worshipped by the queen of Sheba ~ the legend of the True Cross"
"11D4114","the wood is taken from the pool of Bethesda to serve as Christ's cross ~ legend of the True Cross"
"11D4115","Helena's vision of the Holy Cross borne by angels ~ legend of the True Cross"
"11D4116","the finding of the True Cross"
"11D41161","Judas, a Jew, put into a well by Helena, mother of Constantine ~ legend of the True Cross"
"11D41162","the three crosses are dug up near the temple of Venus ~ legend of the True Cross"
"11D41163","Helena identifies the True Cross: a human corpse is restored to life when it touches the cross"
"11D41164","Helena and Constantine kneeling before (or standing beside) the True Cross"
"11D4117","the raising of the True Cross, Exaltation of the Holy Cross"
"11D41171","Emperor Heraclius defeats Chosroes II of Persia, and recovers a part of the True Cross"
"11D41172","Heraclius' entry into Jerusalem: as asked by an angel, the emperor, stripped of his royal robes, carries the True Cross into the city"
"11D411721","emperor Heraclius' entry into Jerusalem, riding on an ass or on horseback ~ legend of the True Cross"
"11D41173","the True Cross is erected on Golgotha (or on an altar) ~ legend of the True Cross"
"11D41174","Chosroes II, having refused baptism, is executed ~ legend of the True Cross"
"11D412","legend of the bleeding Holy Lance"
"11D413","legend of the Holy Grail"
"11D414","the prophecy of Basilides: on his way to Jerusalem, emperor Titus consults Basilides the Carmelite, who shows him a vision of God the Father with the dead Christ"
"11D42","devotion ~ Christ"
"11D421","the Seven Bleedings of Christ"
"11D4211","single scenes of the Seven Bleedings of Christ"
"11D422","the Sacred Heart"
"11D423","the Sacred Blood"
"11D424","the Sacred Tear"
"11D425","Christ's length"
"11D43","relics ~ Christ"
"11D431","splinters of the cross ~ relics of Christ"
"11D432","nails of the cross ~ relics of Christ"
"11D433","the Holy Lance ~ relics of Christ"
"11D434","Christ's robe ~ relics of Christ"
"11D435","'Scala Santa', the stairs of Pilate's palace ~ relics of Christ"
"11D5","mystic ideas ~ Christ"
"11D51","Christ and the Soul"
"11D511","the Soul as bride of Christ"
"11D52","Christ and the human heart"
"11D53","Christ's blood saving mankind"
"11D6","miraculous statues of Christ or the Christ-child"
"11D6(...)","miraculous statues of Christ or the Christ-child (with NAME)"
"11D9","Antichrist"
"11D91","scenes from the life of the Antichrist"
"11DD3","Christ as adult - DD - Christ beardless"
"11DD31","'portraits' of Christ - DD - Christ beardless"
"11DD311","'Mandylion', i.e. portrait, perhaps made for King Abgar of Edessa by Christ himself, by pressing his face against a cloth - DD - Christ beardless"
"11DD3111","Christ gives the Mandylion to the messenger of King Abgar - DD - Christ beardless"
"11DD3112","the Mandylion is brought to Edessa - DD - Christ beardless"
"11DD312","'Vera Icon', 'Sudarium', Veronica-portrait - DD - Christ triumphant"
"11DD3121","'Vera Icon', held up by Veronica - DD - Christ triumphant"
"11DD3122","'Vera Icon', held up by angels - DD - Christ triumphant"
"11DD3123","'Vera Icon' held up by Peter and Paul - DD - Christ triumphant"
"11DD313","'portrait' of Christ according to the letter of Lentulus - DD - Christ beardless"
"11DD314","'Volto Santo', e.g. of Lucca (perhaps carved by Nicodemus) - DD - Christ beardless"
"11DD315","portrait of Christ made by Luke - DD - Christ beardless"
"11DD316","ex-voto of the woman healed from the issue of blood - DD - Christ beardless"
"11DD317","(full-length) image of Christ on shroud, 'Sindone' - DD - Christ beardless"
"11DD318","(other) 'portraits' of Christ, e.g. profile portrait - DD - Christ beardless"
"11DD32","particular types of adult Christ (without others) - DD - Christ beardless"
"11DD321","'Majestas Domini': Christ in mandorla seated on a rainbow or sphere and accompanied by the Tetramorph - DD - Christ beardless"
"11DD322","Christ enthroned - DD - Christ beardless"
"11DD3221","'Pantocrator', (bust of) Christ, making a speaking or blessing gesture and holding a book - DD - Christ beardless"
"11DD3222","'Christus Rex' - DD - Christ beardless"
"11DD3223","Christ as (heavenly) judge - DD - Christ beardless"
"11DD323","Christ-'Logos', the Word Incarnate - DD - Christ beardless"
"11DD324","'Salvator Mundi', making a blessing gesture; an orb in his hand or at his feet - DD - Christ beardless"
"11DD325","Christ ~ the Eucharist - DD - Christ beardless"
"11DD3251","Christ with chalice, and bread or Host - DD - Christ beardless"
"11DD3252","Christ in the wine-press, 'Christus in der Kelter' (Is. 63:3) - DD - Christ beardless"
"11DD3253","Christ in the symbolic mill - DD - Christ beardless"
"11DD326","'Fons Vitae', 'Fons Pietatis' - DD - Christ beardless"
"11DD3261","Christ standing on or near a fountain, shedding his blood - DD - Christ beardless"
"11DD3262","Christ on the cross (in a fountain), shedding his blood - DD - Christ beardless"
"11DD327","Christ ~ human occupations - DD - Christ beardless"
"11DD3271","Christ as Good Shepherd - DD - Christ beardless"
"11DD3272","Christ as physician - DD - Christ beardless"
"11DD32721","Christ as apothecary - DD - Christ beardless"
"11DD3273","Christ fishing - DD - Christ beardless"
"11DD3274","Christ as pedlar - DD - Christ beardless"
"11DD3275","Christ as farmer or gardener - DD - Christ beardless"
"11DD3276","Christ as host - DD - Christ beardless"
"11DD3277","Christ as (high) priest or prophet - DD - Christ beardless"
"11DD3278","Christ as pilgrim - DD - Christ beardless"
"11DD3279","'Feiertagschristus', Christ with craftsman's tools - DD - Christ beardless"
"11DD328","types of adult Christ (alone) - DD - Christ beardless"
"11DD3281","Christ as woman - DD - Christ beardless"
"11DD3282","Christ in orans attitude - DD - Christ beardless"
"11DD3283","Christ as angel - DD - Christ beardless"
"11DD3284","Christ ~ Orpheus - DD - Christ beardless"
"11DD3285","Christ ~ Apollo (Helios) - DD - Christ beardless"
"11DD33","adult Christ together with others (non-narrative representations) - DD - Christ beardless"
"11DD331","adult Christ with Mary - DD - Christ beardless"
"11DD3311","Christ and Mary as bridegroom and bride - DD - Christ beardless"
"11DD332","adult Christ together with angels - DD - Christ beardless"
"11DD333","adult Christ ~ devil(s) and demonic creatures - DD - Christ beardless"
"11DD3331","Christ triumphing over devil(s) - DD - Christ beardless"
"11DD334","adult Christ together with apostles, evangelists, saints, etc. - DD - Christ beardless"
"11DD3341","Christ with John the Evangelist leaning on his breast, 'Johannesminne', 'Christus-Johannes-Gruppe' - DD - Christ beardless"
"11DD3342","'Traditio legis', 'Dominus legem dat', i.e. Christ giving a scroll (the Law) to Paul; Peter present - DD - Christ beardless"
"11DD33421","Christ giving a scroll (the Law) to Paul; apostle(s) present - DD - Christ beardless"
"11DD3343","Christ with penitent sinners (Adam, David, prodigal son, Mary Magdalene, good malefactor, Peter, etc.) - DD - Christ beardless"
"11DD335","adult Christ together with mortals - DD - Christ scornful, threatening, etc."
"11DD3351","(adult) Christ appearing to mortals - DD - Christ scornful, threatening, etc."
"11DD336","triumphant Christ, e.g. on triumphal chariot - DD - Christ beardless"
"11DD337","Christ on horseback - DD - Christ beardless"
"11DD3371","Christ on horseback leading an army of knights, 'Militia Christi' - DD - Christ beardless"
"11DD34","adult Christ ~ abstract conceptions - DD - Christ beardless"
"11DD35","specific types of crucified Christ (in non-narrative context) - DD - Christ beardless"
"11DD351","Christ suffering (with crown of thorns, head usually turned sidewards) - DD - Christ beardless"
"11DD352","Christ covered with pest-sores, 'Pestkruzifixus' - DD - Christ beardless"
"11DD353","Christ triumphing (with crown, head usually upright) - DD - Christ beardless"
"11DD354","Christ bowing down from the cross to embrace someone - DD - Christ beardless"
"11DD355","Christ crucified on a tree or on a vine - DD - Christ beardless"
"11DD356","Christ crucified on a 'living' cross - DD - Christ beardless"
"11DD357","the Virtues ~ crucified Christ - DD - Christ beardless"
"11DD36","other types of crucified Christ in non-narrative context - DD - Christ beardless"
"11DD422","the Sacred Heart - DD - the Christ-child and the Sacred Heart"
"11E","the Holy Ghost"
"11E1","Holy Ghost represented as a dove (in flames)"
"11E2","Holy Ghost represented as flames"
"11E3","Holy Ghost represented in human shape"
"11E4","Holy Ghost represented otherwise, e.g. ray(s) of light"
"11E5","the seven gifts of the Holy Ghost"
"11E51","the seven gifts of the Holy Ghost represented as seven doves"
"11E52","the seven gifts of the Holy Ghost represented as seven flames"
"11E53","the seven gifts of the Holy Ghost represented as seven lamps or as a seven-branched candelabrum"
"11E54","separate representations of the seven gifts of the Holy Ghost"
"11E541","'Sapientia', Wisdom; 'Sapienza divina' (Ripa) ~ one of the seven gifts of the Holy Ghost"
"11E542","'Intellectus', 'Intelligentia', Understanding ~ one of the seven gifts of the Holy Ghost"
"11E543","'Consilium', Counsel ~ one of the seven gifts of the Holy Ghost"
"11E544","'Fortitudo', Fortitude ~ one of the seven gifts of the Holy Ghost"
"11E545","'Pietas', Piety ~ one of the seven gifts of the Holy Ghost"
"11E546","'Scientia', Knowledge ~ one of the seven gifts of the Holy Ghost"
"11E547","'Timor Domini', Holy Fear ~ one of the seven gifts of the Holy Ghost"
"11F","the Virgin Mary"
"11F1","symbols and prefigurations of Mary"
"11F11","symbols of Mary"
"11F111","symbols of Mary from litanies"
"11F111(...)","symbols (of Mary) from litanies (with TEXT)"
"11F112","Mary or Madonna with symbols of the Lauretanian Litany"
"11F12","monograms of Mary"
"11F13","coat of arms of Mary"
"11F14","'Defensorium inviolatae virginitatis'; symbols of virginal motherhood"
"11F15","prefigurations of Mary; Mary and her prefigurations"
"11F2","Mary (without the Christ-child)"
"11F21","Mary as child"
"11F22","'portraits' of Mary"
"11F23","upright figures of Mary without the Christ-child"
"11F231","Mary as orante (sometimes called 'Blacherniotissa')"
"11F232","'Immaculata', 'Purisima': Mary, usually standing on a crescent moon, descending from heaven, exempt from original sin (sometimes trampling serpent)"
"11F2321","'Immaculata', 'Purisima': Mary with saints"
"11F233","Mary standing or resting on the earth"
"11F234","pregnant Mary, Our Lady of Expectation, 'Madonna del Parto'"
"11F2341","pregnant Mary, Christ-child visible"
"11F235","opening Virgin"
"11F2351","Trinity inside the opening Virgin"
"11F2352","Passion of Christ inside the opening Virgin"
"11F236","'Aehrenkleidmaria' (sometimes with Christ-child)"
"11F24","sitting figures of Mary (alone)"
"11F241","Our Lady of the Sorrows"
"11F2411","the (Seven) Sorrows of Mary"
"11F2412","Mary pierced by seven swords"
"11F242","Our Lady of the Joys"
"11F2421","the (Seven) Joys of Mary"
"11F243","Mary and the unicorn"
"11F244","Mary enthroned"
"11F26","other types of Mary (alone)"
"11F25","'Mater Dolorosa'"
"11F251","Mary weeping"
"11F252","Mary pierced by a sword"
"11F253","Mary with the instruments of the Passion"
"11F261","Mary as bride of the Holy Ghost (with a dove on her bosom)"
"11F262","Mary as shepherdess"
"11F263","Mary as pilgrim"
"11F264","Mary as hermit (after Christ's death), 'Nostra señora de la Soledad'"
"11F265","Mary as doctor"
"11F266","Mary conquering the devil"
"11F267","Mary saving soul(s)"
"11F268","Mary as priestess, administering the Eucharist"
"11F3","Mary (without Christ-child), together with others"
"11F31","Mary interceding (with Christ), 'Maria Mediatrix' (sometimes Mary showing her breasts)"
"11F32","Mary together with mortals, who adore her, or implore her to help"
"11F33","Mary giving milk from her breasts, 'Lactatio'"
"11F34","Mary protecting mankind against the plague, e.g. by hiding people under her cloak; 'Pestbild'"
"11F35","Mary as Queen of the apostles"
"11F36","triumph of Mary, on triumphal chariot"
"11F4","Madonna: i.e. Mary with the Christ-child"
"11F41","Madonna: Mary standing (or half-length), Christ-child close to her bosom"
"11F411","Mary standing (or half-length), the Christ-child in front of her, close to her bosom"
"11F4111","Mary standing (or half-length), the Christ-child in front of her, close to her bosom; standing"
"11F4112","Mary standing (or half-length), the Christ-child in front of her, close to her bosom; sitting"
"11F41121","'Nikopoia' ~ Madonna"
"11F4113","Mary standing (or half-length), the Christ-child in front of her, close to her bosom; lying"
"11F412","Mary standing (or half-length), the Christ-child on her arm (Christ-child to Mary's left)"
"11F4121","Mary standing (or half-length), the Christ-child standing on her arm (Christ-child to Mary's left)"
"11F4122","Mary standing (or half-length), the Christ-child sitting on her arm (Christ-child to Mary's left)"
"11F41221","'Hodegetria' ~ Madonna"
"11F41222","'Dexiocratousa' ~ Madonna"
"11F41223","'Eleousa', 'Glykophilousa' ~ Madonna"
"11F4123","Mary standing (or half-length), the Christ-child lying on her arm (Christ-child to Mary's left)"
"11F41231","'Galaktotrophousa' ~ Madonna"
"11F413","specific types of standing (or half-length) Madonna's, without others"
"11F4131","'Platytera', i.e. Mary in orans-position with the Christ-child in a clipeus in front of her"
"11F41311","Mary, usually with the Christ-child, in orans-position in a fountain (of life)"
"11F4132","Madonna on the crescent of the moon (sometimes called Queen of Heaven) (in mandorla)"
"11F4133","Christ-child on Mary's arm fighting the dragon"
"11F4134","'Madonna della Vittoria', triumphing, e.g. over Protestantism"
"11F4135","'Marianum', Madonna in aureole or mandorla (surrounded by the rosary), Mary in the Glory"
"11F4136","Madonna on a column, 'Mariensäule'"
"11F4137","Madonna standing (or sitting) on a lion (of Judah)"
"11F42","Madonna: Mary sitting or enthroned, the Christ-child in her lap (or in front of her bosom) (Mary sometimes represented half-length)"
"11F421","Mary sitting or enthroned, the Christ-child in front of her in her lap (or in front of her bosom)"
"11F4211","Mary sitting or enthroned, the Christ-child in front of her, standing in her lap (or in front of her bosom)"
"11F4212","Mary sitting or enthroned, the Christ-child in front of her, sitting in her lap (or in front of her bosom)"
"11F42121","'Sedes Sapientiae'"
"11F42122","Madonna (or Mary alone) on the throne of Solomon, sometimes surrounded by virtues"
"11F4213","Mary sitting or enthroned, the Christ-child in front of her, lying in her lap (or in front of her bosom), sometimes in Pietà-posture"
"11F422","Mary sitting or enthroned, the Christ-child on her knee (Christ-child to Mary's left)"
"11F4221","Mary sitting or enthroned, the Christ-child standing on her knee (Christ-child to Mary's left)"
"11F4222","Mary sitting or enthroned, the Christ-child sitting on her knee (Christ-child to Mary's left)"
"11F4223","Mary sitting or enthroned, the Christ-child lying on her knee (Christ-child to Mary's left)"
"11F423","specific types of Madonna's sitting or enthroned (without others)"
"11F4231","Madonna in the rose-garden, 'Paradiesgärtlein'"
"11F4232","Madonna surrounded by a garland of flowers (or fruits)"
"11F4233","Madonna in a tree"
"11F43","Madonna: Mary sitting on the ground, the Christ-child in her lap"
"11F431","Mary sitting on the ground, the Christ-child in front of her in her lap"
"11F4311","Mary sitting on the ground, the Christ-child in front of her, standing in her lap"
"11F4312","Mary sitting on the ground, the Christ-child in front of her, sitting in her lap"
"11F4313","Mary sitting on the ground, the Christ-child in front of her, lying in her lap"
"11F43131","'Madonna dell'Umiltà' (usually Mary suckling the Christ-child while sitting on the ground)"
"11F4314","Mary sitting on the ground, the Christ-child in front of her, kneeling in her lap"
"11F432","Mary sitting on the ground, the Christ-child in her lap or on her knee (Christ-child to Mary's left)"
"11F4321","Mary sitting on the ground, the Christ-child standing or stepping in Mary's lap or on her knee (Christ-child to Mary's left)"
"11F4322","Mary sitting on the ground, the Christ-child sitting in Mary's lap or on her knee (Christ-child to Mary's left)"
"11F4323","Mary sitting on the ground, the Christ-child lying in Mary's lap or on her knee (Christ-child to Mary's left)"
"11F4324","Mary sitting on the ground, the Christ-child kneeling in Mary's lap or on her knee (Christ-child to Mary's left)"
"11F44","Madonna: Mary (standing) with the Christ-child free-standing (or leaning against her)"
"11F441","Mary (standing) with the Christ-child in front of her (free-standing or leaning against her)"
"11F4411","Mary (standing) with the Christ-child in front of her (free-standing or leaning against her); Christ-child standing"
"11F4412","Mary (standing) with the Christ-child in front of her (free-standing or leaning against her); Christ-child sitting"
"11F4413","Mary (standing) with the Christ-child in front of her (free-standing); Christ-child lying"
"11F4414","Mary (standing) with the Christ-child in front of her (free-standing or leaning against her); Christ-child kneeling"
"11F442","Mary (standing) with the Christ-child beside her (free-standing or leaning against her)"
"11F4421","Mary (standing) with the Christ-child beside her (free-standing or leaning against her); Christ-child standing"
"11F4422","Mary (standing) with the Christ-child beside her (free-standing or leaning against her); Christ-child sitting"
"11F4423","Mary (standing) with the Christ-child beside her (free-standing); Christ-child lying"
"11F4424","Mary (standing) with the Christ-child beside her (free-standing or leaning against her); Christ-child kneeling"
"11F45","Mary kneeling (on the ground), the Christ-child in front of her"
"11F451","Mary kneeling (on the ground), the Christ-child standing in front of her"
"11F452","Mary kneeling (on the ground), the Christ-child sitting in front of her"
"11F453","Mary kneeling (on the ground), the Christ-child lying in front of her"
"11F454","Mary kneeling (on the ground), the Christ-child kneeling in front of her"
"11F46","Christ-child sitting on Mary's shoulder"
"11F461","Mary standing, the Christ-child sitting on her shoulder"
"11F462","Mary sitting, enthroned, the Christ-child sitting on her shoulder"
"11F463","Mary sitting on the ground, the Christ-child sitting on her shoulder"
"11F464","Mary kneeling, the Christ-child sitting on her shoulder"
"11F5","Madonna (i.e. Mary with the Christ-child) in the air, or on the clouds"
"11F6","Madonna (i.e. Mary with the Christ-child) accompanied or surrounded by others"
"11F61","Madonna accompanied by saint(s)"
"11F611","'Sacra Conversazione'"
"11F612","'Ueber dich freut sich'"
"11F62","specific types of Madonna with others"
"11F621","'Regina Coeli', 'Regina Angelorum', 'Maestà' ~ Madonna"
"11F6211","'Regina Coeli', 'Regina Angelorum', 'Maestà', John the Baptist present"
"11F622","'Virgo inter Virgines'"
"11F623","Madonna of the Rosary"
"11F624","Mother of Mercy, 'Mater Misericordiae', 'Schutzmantelmadonna', 'Schutzmantelmaria'"
"11F63","Madonna (or Mary without Christ-child) as patroness or protectress, e.g. of a confraternity or lay order"
