"subject_id","subject"
185,"Adrian (St.)"
186,"Adulatione"
187,"Adullam (cave)"
188,"Adullamite"
189,"adult"
190,"Adulterio"
191,"adultery"
192,"adulthood"
193,"advantage"
194,"Advent"
195,"adventurer"
196,"adversary"
197,"advertisement"
198,"advertising"
199,"advising"
200,"Aeacus"
201,"aediculum"
202,"Aedon (wife of Polytechnus)"
203,"Aedon (wife of Zethus)"
204,"Aeetes (King)"
205,"Aegeates"
206,"aeger curatur"
207,"Aegeus"
208,"Aegialeus"
209,"Aegina"
210,"Aegina (island)"
211,"Aegis"
212,"Aegisthus"
213,"Aegle"
214,"Aehrenkleidmaria"
215,"Aello(pus)"
216,"Aeneas"
217,"Aeneas of Lydda"
218,"Aeolus"
219,"Aepytus"
220,"Aequitas"
221,"aerial"
222,"aerodynamics"
223,"aeroplane"
224,"Aesacus"
225,"Aeschines"
226,"Aeschylus"
227,"Aesculapius"
228,"Aeson"
229,"Aesop"
230,"Aestas"
231,"aesthetic sense"
232,"aesthetics"
233,"Aetas aenea"
234,"Aetas argentae"
235,"Aetas aurea"
236,"Aetas ferrea"
237,"Aeternitas"
238,"Aether"
239,"Aethiopica"
240,"Aethra"
241,"Affabilità, piacevolezza, amabilità"
242,"affability"
243,"Affanno"
244,"affectation"
245,"Afra (St.)"
246,"Africa"
247,"African religion"
248,"Africans"
249,"Africus"
250,"afternoon"
251,"afternoon dress"
252,"afternoon tea"
253,"Agabus"
254,"Agag (King)"
255,"Agamedes"
256,"Agamemnon"
257,"Agamemnon's tomb"
258,"Aganippe"
259,"Agapenor (King)"
260,"Agapitus"
261,"Agariste"
262,"Agatha (St.)"
263,"Agathon"
264,"Agave"
265,"Agdistis"
266,"age"
267,"agent"
268,"agent provocateur"
269,"aggression"
270,"Agilità"
271,"agitator"
272,"Aglaia"
273,"Aglauros"
274,"Agnes of Montepulciano"
275,"Agnes of Rome (St.)"
276,"Agnus Dei"
277,"agony"
278,"Agony in the Garden"
279,"Agosto"
280,"agraffe"
281,"Agricane"
282,"Agricola"
283,"Agricoltura"
284,"Agricultura"
285,"agricultural implements"
286,"agriculture"
287,"Agrippa (King)"
288,"Agrippina the Elder"
289,"Agrippina the Younger"
290,"Agrippine sibyl"
291,"Ahab (King)"
292,"Ahab's descendants"
293,"Ahasuerus (King)"
294,"Ahasverus"
295,"Ahaz (King)"
296,"Ahaziah (king of Israel)"
297,"Ahaziah (king of Judah)"
298,"Ahijah"
299,"Ahimaaz"
300,"Ahimelech"
301,"Ahinoam"
302,"Ahitophel"
303,"Ahnengalerie"
304,"Aholah"
305,"Aholiab"
306,"Aholibah"
307,"Ahuzzath"
308,"Ai"
309,"Ai (king of)"
310,"Aijalon"
311,"aim"
312,"aimlessness"
313,"Aion"
314,"air"
315,"air (in the)"
316,"air conditioning"
317,"air force"
318,"air pollution"
319,"air top"
320,"air-crash"
321,"airfield"
322,"airing"
323,"airport"
324,"airship"
325,"aisle"
326,"Ajax"
327,"Ajax the Lesser"
328,"Ajuto"
329,"alarm"
330,"Alatiel"
331,"alb"
332,"Alba Longa"
333,"Albanians"
334,"Albert the Great (St.)"
335,"Albinius (Lucius)"
336,"albino"
337,"Alboin (King)"
338,"album amicorum"
339,"Alcestis"
340,"alchemist"
341,"alchemistic symbol"
342,"alchemy"
343,"Alcibiades"
344,"Alcimus"
345,"Alcina"
346,"Alcinous (King)"
347,"Alcis"
348,"Alcithoe"
349,"Alcmaeon"
350,"Alcmaeon's sons"
351,"Alcmene"
352,"alcohol"
353,"alcoholism"
354,"Alcon"
355,"Alcyone"
356,"Alcyoneus"
357,"alder"
358,"ale"
359,"Alea jacta est"
360,"Alecto"
361,"Alexander Balas (King)"
362,"Alexander the Great"
363,"Alexander the Great's tomb"
364,"Alexandria"
365,"Alexis (St.)"
366,"alfresco"
367,"algae"
368,"algebra"
369,"alimentary tract"
370,"alive"
371,"All Fool's Day"
372,"All Hallow's Eve"
373,"All Saints"
374,"All Souls"
375,"all-seeing eye"
376,"Allah"
377,"allegory"
378,"Allegrezza"
379,"Allegrezza d'amore"
380,"Allegrezza da le medaglie"
381,"Allegrezza, letitia e giubilo"
382,"Allerheiligenbild"
383,"alley"
384,"alliance"
385,"alligator"
386,"Allucius"
387,"almanac"
388,"almandine"
389,"almond"
390,"almond-blossom"
391,"almond-tree"
392,"alms"
393,"alms-house"
394,"aloe"
395,"Aloeids"
396,"alone at last"
397,"Aloysius Gonzaga (St.)"
398,"alp"
399,"alpha and omega"
400,"alphabet"
401,"Alpheus"
402,"Alps"
403,"altar"
404,"altar-piece"
405,"altarcard"
406,"alter ego"
407,"Alterezza in persona nata povera civile"
408,"alternation"
409,"Althaea"
410,"Altimetria"
411,"altocumulus"
412,"altostratus"
413,"Alverna (Mount)"
414,"Amadís de Gaula"
415,"Amalek"
416,"Amalekites"
417,"Amalthea"
418,"Amand (St.)"
419,"amaranth"
420,"Amaritudine"
421,"Amasa"
422,"Amasenus (river)"
423,"Amata"
424,"amateur art"
425,"Amathus (women of)"
426,"Amaziah (King)"
427,"Amaziah (priest)"
428,"Amazon"
429,"amazonomachy"
430,"ambassador"
431,"amber"
432,"ambergris"
433,"ambition"
434,"Ambitione"
435,"ambivalence"
436,"Ambrose (St.)"
437,"ambrosia"
438,"Ambrosius episcopus"
439,"ambulance"
440,"ambulatory"
441,"ambush"
442,"America"
443,"American football"
444,"American Indian religion"
445,"Americans"
446,"amethyst"
447,"amice"
448,"Amicitia"
449,"Amicitia senza giovamento"
450,"Amiens"
451,"Aminta"
452,"Ammaestramento"
453,"Ammonites"
454,"ammunition"
455,"Amnon"
456,"Amon (King)"
457,"Amon-Re"
458,"Amor Cruciatus"
459,"Amor del Prossimo"
460,"Amor della patria"
461,"Amor di Fama"
462,"Amor di se stesso"
463,"Amor di Virtù"
464,"Amor Domato"
465,"Amor Lethus"
466,"Amor vincit Omnia"
467,"Amore (secondo Seneca)"
468,"Amore (Trionfi d')"
469,"Amore verso Iddio"
470,"Amorites"
471,"Amos"
472,"Amos 01-02"
473,"Amos 04"
474,"Amos 07-08"
475,"Amos 09"
476,"Amour piqué (l')"
477,"Ampelus"
478,"Amphiaraus"
479,"amphibian"
480,"amphibian vehicle"
481,"Amphilochus"
482,"Amphinomus"
483,"Amphion"
484,"amphisbaena"
485,"Amphitrite"
486,"Amphitryon"
487,"Ampiezza della Gloria"
488,"amplexus"
489,"amplifier"
490,"amputation"
491,"amulet"
492,"Amulius"
493,"amusement"
494,"Amycus (King)"
495,"Amymone"
496,"Anacharsis"
497,"Anacreon"
498,"Anadyomene (Venus)"
499,"anagram"
500,"Anakim"
501,"anamorphosis"
502,"Ananias (high priest)"
503,"Ananias (of Babylon)"
504,"Ananias (of Damascus)"
505,"Ananias and Sapphira"
506,"anaphrodisiac"
507,"Anapias"
508,"anarchism"
509,"Anastasis"
510,"anathema"
511,"Anathoth"
512,"anatomical model"
513,"anatomical specimen"
514,"anatomy"
515,"anatomy lesson"
516,"Anaxagoras"
517,"Anaxarete"
518,"ancestor"
519,"Anchises"
520,"anchor"
521,"ancient American script"
522,"ancient grave forms"
523,"ancient history"
524,"Ancient of days"
525,"Ancus Martius"
526,"andiron"
527,"andouille"
528,"Andrapolis"
529,"Andrew (St.)"
530,"Andrew Corsini (St.)"
531,"Andrew's cross"
532,"Androclea"
533,"Androclus"
534,"Andromache"
535,"Andromeda"
536,"Andronicus"
537,"Andros (island of)"
538,"anemone"
539,"angel"
540,"angel Communion"
541,"Angelica"
542,"Angelkitchen"
543,"anger"
544,"Angerona"
545,"Anghiari (battle of)"
546,"Angitia"
547,"angle"
548,"Anglican Church"
549,"Anglicans"
550,"Anianus"
551,"Anima dannata"
552,"animal"
553,"animal bipes implume"
554,"animal material"
555,"animated cartoon"
556,"animating"
557,"Animo piacevole, trattabile & amorevole"
558,"Anius (King)"
559,"Anius' daughters"
560,"ankle"
561,"anklet"
562,"Anna (Dido's sister)"
563,"Anna (prophetess)"
564,"Anna (St.)"
565,"Anna (wife of Tobit)"
566,"Anna Perenna"
567,"Anna selbdritt"
568,"Anna selbviert"
569,"Anna's daughters"
570,"Annas"
571,"annex"
572,"anniversary"
573,"Anno"
574,"Annona"
575,"announcing"
576,"annunciation"
577,"Annus"
578,"anointing"
579,"anonym"
580,"Ansate cross"
581,"Anselm (St.)"
582,"answer"
583,"answering machine"
584,"ant"
585,"Antaeus"
586,"antalops"
587,"ante legem"
588,"antelope"
589,"antenna"
590,"antenna tower"
591,"Antenor"
592,"antependium"
593,"Anteros"
594,"Anthesteria"
595,"anthracite"
596,"anthropology"
597,"anthroposophy"
598,"anti-militarism"
599,"anti-semitism"
600,"Antichrist"
601,"anticipation"
602,"Anticlea"
603,"Antigone (daughter of Laomedon)"
604,"Antigone (daughter of Oedipus)"
605,"Antilochus"
606,"Antinous"
607,"Antioch"
608,"Antiochus I (Soter)"
609,"Antiochus III (the Great)"
610,"Antiochus IV Epiphanes"
611,"Antiochus V Eupator"
612,"Antiope"
613,"Antipater"
614,"antiphonary"
615,"antipope"
616,"antiquarian bookshop"
617,"antique dealer"
618,"antiseptics"
619,"antlers"
620,"Antoninus Pierozzi (St.)"
621,"Antony Abbot (St.)"
622,"Antony of Padua (St.)"
623,"antrum Platonicum"
624,"Antwerp"
625,"anus"
626,"anvil"
627,"anxiety"
628,"Apamene"
629,"apart"
630,"apartment house"
631,"Apelles"
632,"Aphek"
633,"aphrodisiac"
634,"Aphrodisius"
635,"Apis"
636,"Apocalypse"
637,"apocalyptic beasts"
638,"apocalyptic woman"
639,"Apollinaris (St.)"
640,"Apollo"
641,"Apollonia (St.)"
642,"Apollonius"
643,"Apollos"
644,"Apollyon"
645,"apostle"
646,"apostle of Frisia"
647,"apostle of Germany"
648,"apostolic creed"
649,"apostolic succession"
650,"apostolicity"
651,"apothecary"
652,"apotheosis"
653,"apotropaion"
654,"apparatus"
655,"apparent death"
656,"appearance"
657,"Appetito"
658,"Appius Claudius"
659,"applause"
660,"apple"
661,"apple-tree"
662,"apples of the Hesperides"
663,"applicant"
664,"applied art"
665,"appliquéing"
666,"appointing"
667,"appointment"
668,"Apprehensiva"
669,"apprentice"
670,"approach"
671,"approval"
672,"après le bain"
673,"April"
674,"April 1"
675,"Aprile"
676,"apron"
677,"apse"
678,"Apsyrtus"
679,"Apuleius, Metamorphoses"
680,"Apulian shepherd"
681,"aquamanile"
682,"aquarium"
683,"Aquarius"
684,"aqueduct"
685,"Aquila"
686,"Aquilius (Manius)"
687,"arabesque"
688,"Arabic script"
689,"Arabs"
690,"Arachne"
691,"Arad (King)"
692,"Aragon (arms of)"
693,"Aragon (king of)"
694,"Ararat (Mount)"
695,"Araunah"
696,"arba kanfot"
697,"arbitrariness"
698,"arbitration"
699,"Arbor Vitiorum"
700,"arboriculture"
701,"arbour"
702,"arcade"
703,"Arcadia"
704,"Arcas"
705,"arch"
706,"archaeology"
707,"archangel"
708,"archbishop"
709,"archdeacon"
710,"archer"
711,"Archimedes"
712,"architect"
713,"architectonic garden"
714,"architecture"
715,"Architekturbild"
716,"Architettura"
717,"architrave"
718,"archive"
719,"archivolt"
720,"Arctic religion"
721,"Ardea"
722,"Ardennes"
723,"Ardire magnanimo et generoso"
724,"Ardire ultimo & necessario"
725,"arena"
726,"Areopagus"
727,"Arete (Queen)"
728,"Arethusa (Hesperide)"
729,"Arethusa (Nereid)"
730,"Arges"
731,"Argia"
732,"Argo"
733,"Argonaut"
734,"Argos"
735,"arguing"
736,"Argus (guardian)"
737,"Argus (Ulysses' dog)"
738,"Argus' eyes"
739,"Argyra"
740,"Aria"
741,"Ariadne"
742,"Ariane"
743,"Aries"
744,"Arioch"
745,"Arion (musician)"
746,"Arion (winged horse)"
747,"Ariosto"
748,"Ariovistus"
749,"Aristaeus"
750,"aristocracy"
751,"Aristocratia"
752,"Aristogiton"
753,"Aristomenes"
754,"Aristotle"
755,"arithmetic"
756,"Arithmetica"
757,"Aritmetica"
758,"Arius"
759,"ark"
760,"Ark of the Covenant"
761,"arm"
762,"arm in arm"
763,"arm protector"
764,"arm raised"
765,"arm stretched"
766,"Arma Christi"
767,"armadillo"
768,"Armatura"
769,"armchair"
770,"Arme"
771,"Armenian Church"
772,"Armida"
773,"armillary sphere"
774,"arming"
775,"Armistice Day"
776,"Armonia"
777,"armour"
778,"armour-bearer"
779,"armourer"
780,"army"
781,"Arne"
782,"Arne (daughter of Aeolus)"
783,"Arno (river)"
784,"aron kodesh"
785,"Arphaxad"
786,"Arpie"
787,"arrangement"
788,"arranging one's clothes"
789,"array"
790,"arresting"
791,"Arria"
792,"Arrichion"
793,"arrival"
794,"arrogance"
795,"Arroganza"
796,"arrow"
797,"Arruns (character from Aeneid)"
798,"Arruns (son of Tarquin)"
799,"ars amandi"
800,"ars memorandi"
801,"ars moriendi"
802,"arsenal"
803,"Arsinoe (Orestes' nurse)"
804,"Arsinoe (Phegeus' daughter)"
805,"Arsinoe II"
806,"Arsinoe IV"
807,"Arsippe"
808,"art"
809,"art collection"
810,"art collector"
811,"art dealer"
812,"art lover"
813,"art sale"
814,"art theory"
815,"Artaxerxes"
816,"Arte"
817,"artefact"
818,"Artemia"
819,"Artemis 'potnia theroon'"
820,"Artemisia"
821,"artery"
822,"Artes Liberales"
823,"Artes Mechanicae"
824,"Artes Vulgares"
825,"artfulness"
826,"arthropod"
827,"Arthur (King)"
828,"Arthurian legend"
829,"artichoke"
830,"articles of faith"
831,"artificial flower"
832,"artificial language"
833,"artificial light"
834,"artificial limb"
835,"artificial plant"
836,"artificial respiration"
837,"Artificio"
838,"artist"
839,"artiste"
840,"artlessness"
841,"Asa (King)"
842,"Asahel"
843,"Asarhaddon"
844,"Ascalabus"
845,"Ascalaphus"
846,"Ascanius"
847,"Ascanius-Cupid"
848,"ascending"
849,"ascendit ad coelos"
850,"ascension"
851,"ascetic"
852,"ascetical theology"
853,"ascia"
854,"Asenath"
855,"ash cloud"
856,"Ash Wednesday"
857,"ash-nymph"
858,"ash-tree"
859,"Ashdod"
860,"Asher"
861,"ashes"
862,"Ashkelon"
863,"Ashkenazim"
864,"ashtray"
865,"Asia"
866,"Asians"
867,"asking"
868,"Asmodeus"
869,"Asopus"
870,"Asor (valley of)"
871,"asparagus"
872,"Aspasia"
873,"aspect"
874,"aspergillum"
875,"asphalt"
876,"Asphodel"
877,"asphyxiation"
878,"aspic"
879,"ass"
880,"ass's ears"
881,"ass's jaw-bone"
882,"assembling"
883,"assembly"
884,"assembly line"
885,"assembly-room"
886,"Assiduità"
887,"Assisi"
888,"assistance"
889,"assistant"
890,"association"
891,"assumptio animae"
892,"assumptio corporis"
893,"assumption"
894,"Assyrians"
895,"Astarte"
896,"Asteria"
897,"Asterope"
898,"Astinenza"
899,"Astolat"
900,"Astolfo"
901,"Astraea"
902,"Astraeus"
903,"astragali"
904,"astral vision"
905,"Astrée"
906,"astride"
907,"astrolabe"
908,"astrologer"
909,"Astrologia"
910,"astrology"
911,"astronaut"
912,"astronautics"
913,"Astronomia"
914,"astronomical instrument"
915,"astronomy"
916,"Astutia ingannevole"
917,"Astwerk"
918,"Astyages (King)"
919,"Astyanax"
920,"asylum"
921,"asymmetry"
922,"Atala"
923,"Atalante"
924,"Ate"
925,"Athalia"
926,"Athamas"
927,"Athanasian creed"
928,"Athanasius the Great (St.)"
929,"atheism"
930,"atheist"
931,"Athena"
932,"Athens"
933,"athletics"
934,"Athos (Mount)"
935,"Atlante"
936,"atlantes"
937,"Atlantis"
938,"atlas"
939,"Atlas"
940,"atom"
941,"atomic physics"
942,"Atreus"
943,"Atropos"
944,"attacking"
945,"Attalus"
946,"attaques brusquées"
947,"attempt (attack)"
948,"attempt (effort)"
949,"attempted suicide"
950,"attendant"
951,"attention"
952,"attic"
953,"Atticus"
954,"Attila"
955,"Attione virtuosa"
956,"Attis"
957,"attorney"
958,"attraction"
959,"attribute"
960,"auction"
961,"Audacia"
962,"audacity"
963,"audience"
964,"audio accessories"
965,"audio equipment"
966,"audio player"
967,"auditorium"
968,"Auge"
969,"Augeas"
970,"Augsburger Konfession"
971,"augur"
972,"Augurio"
973,"Augurio buono"
974,"Augurio cattivo"
975,"August"
976,"Augustine (St.)"
977,"Augustinians"
978,"Augustus (Emperor)"
979,"Aulis"
980,"aulos"
981,"aunt"
982,"Aura"
983,"Aurelian (Emperor)"
984,"auricular ornament"
985,"aurochs"
986,"Aurora"
987,"aurora borealis"
988,"Australia"
989,"Australian religion"
990,"Australians"
991,"Austro"
992,"auto-da-fé"
993,"autogiro"
994,"autograph"
995,"automation"
996,"automaton"
997,"automobile"
998,"autopsy"
999,"Auttorità o Potestà"
1000,"autumn"
1001,"autumnal equinox"
1002,"Autumnus"
1003,"Autunno"
1004,"Auxo"
1005,"Av 15"
1006,"Av 9"
1007,"avalanche"
1008,"avalerion"
1009,"avarice"
1010,"Avaritia"
1011,"avenging"
1012,"avenue"
1013,"Avernus"
1014,"Averroès"
1015,"aversion"
1016,"aviary"
1017,"aviation"
1018,"Avignon"
1019,"avocado"
1020,"awakening love"
1021,"awaking"
1022,"awkwardness"
1023,"awl"
1024,"awning"
1025,"axe"
1026,"Azariah (priest)"
1027,"Azarias"
1028,"azei hayyim"
1029,"Aztec god"
1030,"Aztec script"
1031,"B'nai B'rith society"
1032,"ba'al keri'ah"
1033,"Baal"
1034,"Baal-Peor"
1035,"Baal-zebub"
1036,"Baanah"
1037,"Baasha (King)"
1038,"Babel"
1039,"baboon"
1040,"baby"
1041,"baby-carriage"
1042,"baby-chair"
1043,"baby-sitter"
1044,"Babylon"
1045,"Babylon (queen of)"
1046,"Babylonian Captivity"
1047,"Babylonian-Assyrian religion"
1048,"Babylonians"
1049,"bacchanal"
1050,"bacchant"
1051,"Bacchides"
1052,"Bacchus"
1053,"Bacchus' son"
1054,"bachelor"
1055,"bacilli"
1056,"back"
1057,"back step"
1058,"back-bend"
1059,"backbone"
1060,"backdrop"
1061,"backgammon"
1062,"backward movement"
1063,"backwards"
1064,"backwash"
1065,"backyard"
1066,"bacteria"
1067,"bacteriology"
1068,"bad"
1069,"bad breath"
1070,"bad feeling"
1071,"bad judge"
1072,"bad result"
1073,"bad taste"
1074,"bad weather"
1075,"badge"
1076,"badger"
1077,"badminton"
1078,"bag"
1079,"baggage"
1080,"Bagoas"
1081,"bagpipe"
1082,"Baharim"
1083,"Baiardo"
1084,"bail"
1085,"Bailey bridge"
1086,"bailiff"
1087,"Bain turc"
1088,"Bajazet"
1089,"baker"
1090,"bakermat"
1091,"baking"
1092,"baking-tin"
1093,"Balaam"
1094,"Balak (King)"
1095,"balalaika"
1096,"balance"
1097,"balcony"
1098,"bald"
1099,"baldachin"
1100,"Balder"
1101,"Bali"
1102,"Balisarda"
1103,"ball"
1104,"ball (dance)"
1105,"ball games"
1106,"ball gown"
1107,"ball-bearing"
1108,"ballad seller"
1109,"ballad singer"
1110,"ballet"
1111,"ballet dress"
1112,"ballet step"
1113,"ballista"
1114,"ballistics"
1115,"balloon"
1116,"ballot"
1117,"balloting"
1118,"Baltazar Carlos"
1119,"Balthasar"
1120,"balustrade"
1121,"Bamberg rider"
1122,"bambochades"
1123,"band"
1124,"band (music)"
1125,"bandage"
1126,"bande dessinée"
1127,"banderole"
1128,"bandoleer"
1129,"bandstand"
1130,"banishing"
1131,"bank"
1132,"bank-note"
1133,"banker"
1134,"bankruptcy"
1135,"banner"
1136,"banquet"
1137,"Banquo"
1138,"Bantus"
1139,"banyan tree"
1140,"baptismal cup"
1141,"baptismal font"
1142,"Baptist Church"
1143,"baptizing"
1144,"bar"
1145,"bar mitzvah"
1146,"Barabbas"
1147,"Barachiel"
1148,"Barak"
1149,"Barbara (St.)"
1150,"barbed wire"
1151,"barbel"
1152,"barber"
1153,"bard"
1154,"barefoot"
1155,"bargain-sale"
1156,"bargaining"
1157,"barge"
1158,"Bari"
1159,"bark (ship)"
1160,"bark (skin)"
1161,"Barlaam (St.)"
1162,"barley"
1163,"barn"
1164,"Barnabas (St.)"
1165,"barometer"
1166,"baron"
1167,"Baron Münchausen"
1168,"barracks"
1169,"barrage"
1170,"barratry"
1171,"barrel"
1172,"barrel-organ"
1173,"barrenness"
1174,"barricade"
1175,"barrier"
1176,"barrister"
1177,"barrow"
1178,"barter"
1179,"Bartholomew (St.)"
1180,"Bartimaeus"
1181,"Baruch"
1182,"Baruch 01"
1183,"Baruch 06"
1184,"Barzillai"
1185,"Barzillai's sons"
1186,"bascule bridge"
1187,"base"
1188,"base metal"
1189,"baseball"
1190,"baseless speculation"
1191,"basement"
1192,"Bashan (women of)"
1193,"Bashemat"
1194,"bashfulness"
1195,"basil"
1196,"Basil the Great (St.)"
1197,"Basilides"
1198,"basilisk"
1199,"basin"
1200,"basket"
1201,"basketball"
1202,"Basle"
1203,"Basque religion"
1204,"bass"
1205,"bassoon"
1206,"bastion"
1207,"bat"
1208,"Batavians"
1209,"bath"
1210,"bath-house"
1211,"bath-robe"
1212,"bathchair"
1213,"bathing"
1214,"bathroom"
1215,"Bathsheba"
1216,"batik-work"
1217,"batman"
1218,"baton"
1219,"batter"
1220,"battering ram"
1221,"battle"
1222,"battle-field"
1223,"battlement"
1224,"Battus"
1225,"bauble"
1226,"Baubo"
1227,"Baucis"
1228,"Bavo (St.)"
1229,"bay (gulf)"
1230,"bay (horse)"
1231,"bay-window"
1232,"Bayard"
1233,"beach"
1234,"beach-comber"
1235,"beacon"
1236,"bead"
1237,"beadle"
1238,"beak"
1239,"beam"
1240,"bean"
1241,"bear"
1242,"beard"
1243,"beardless"
1244,"bearer"
1245,"beast"
1246,"beater"
1247,"beatification"
1248,"beating"
1249,"beatitude"
1250,"Beatitudine a guisa d'emblema"
1251,"Beatitudine ottava"
1252,"Beatitudine prima"
1253,"Beatitudine quarta"
1254,"Beatitudine quinta"
1255,"Beatitudine seconda"
1256,"Beatitudine septima"
1257,"Beatitudine sesta"
1258,"Beatitudine terza"
1259,"Beatrice"
1260,"beau"
1261,"beau vieillard"
1262,"Beaufort"
1263,"Beautiful Gate"
1264,"beauty"
1265,"beauty case"
1266,"beaver"
1267,"Bebryces"
1268,"beckoning"
1269,"bed"
1270,"bed (plot)"
1271,"bedding"
1272,"Bedouins"
1273,"bedroom"
1274,"bedspread"
1275,"bedstead"
1276,"bedstee"
1277,"bee"
1278,"bee-eater"
1279,"bee-hive"
1280,"bee-keeper"
1281,"bee-keeping"
1282,"bee-sting"
1283,"bee-tree"
1284,"beech"
1285,"beef"
1286,"Beelzebub"
1287,"beer"
1288,"Beer"
1289,"Beersheba"
1290,"beetle"
1291,"before"
1292,"beggar"
1293,"beggar's wallet"
1294,"Beggars of the Sea"
1295,"begging bowl"
1296,"beginning"
1297,"Beguines"
1298,"behaviour"
1299,"beheading"
1300,"Behemoth"
1301,"Bel"
1302,"Belgians"
1303,"Belgrado"
1304,"Belial"
1305,"Belial (sons of)"
1306,"belief"
1307,"believer"
1308,"Belisarius"
1309,"bell"
1310,"bell tower"
1311,"bell-buoy"
1312,"bell-founder"
1313,"belle"
1314,"belle vieille"
1315,"Bellerophon"
1316,"Bellezza"
1317,"Bellezza feminile"
1318,"Bellona"
1319,"bellows"
1320,"belly"
1321,"beloved"
1322,"Belshazzar (King)"
1323,"belvedere"
1324,"Ben-ammi"
1325,"Benaiah"
1326,"Benardus"
1327,"bench"
1328,"bending"
1329,"Benedict (St.)"
1330,"Benedict of Aniane"
1331,"Benedictine cross"
1332,"Benedictines"
1333,"benediction"
1334,"beneficence"
1335,"Beneficio"
1336,"benevolence"
1337,"Benevolenza et Unione matrimoniale"
1338,"Benevolenza o Affettione"
1339,"Benhadad (King)"
1340,"Benignità"
1341,"Benjamin"
1342,"Benjamites"
1343,"Benthesicyme"
1344,"berakhot"
1345,"Berenice"
1346,"beret"
1347,"Bernard of Clairvaux (St.)"
1348,"Bernardin de Saint-Pierre"
1349,"Bernardino of Siena (St.)"
1350,"Bernice (Queen)"
1351,"Beroe"
1352,"Bertulf"
1353,"besamim box"
1354,"Besor (brook)"
1355,"Bessus"
1356,"best man"
1357,"bestiality"
1358,"bet din"
1359,"Bet Ha-midrash"
1360,"bet ha-mikdash"
1361,"betel"
1362,"Beth-shan"
1363,"Beth-Shemesh"
1364,"Bethany"
